name,A_cm2,Ix_cm4,Iy_cm4,Zx_cm3,Zy_cm3,rx_cm,ry_cm
WF.150x75x5x7,17.85,666,49.56,88.8,13.2,0.111,0.66
WF.150x100x6x9,26.84,1020,151,138,30.1,6.17,2.37
WF.200x100x4.5x7,23.18,1580,114,160,23,8.26,2.21
WF.200x100x5.5x8,27.16,1840,134,184,26.8,8.24,2.22
WF.200Xx150x6x9,38.8,2675,507,275.8,67.6,8.3,3.6
WF.250x125x5x8,32.68,3540,255,285,41.1,10.4,2.79
WF.250x125x6x9,37.66,4050,294,324,47,10.4,2.79
WF.300x150x5.5x8,40.8,6320,442,424,59.3,12.4,3.29
WF.300x150x6.5x9,46.78,7210,508,481,67.7,12.4,3.29
WF.350x175x6x9,52.68,11100,792,641,91,14.5,3.88
WF.350x175x7x11,63.14,13600,984,775,112,14.7,3.95
WF.400Xx200x7x11,72.16,20000,1450,1010,145,16.7,4.48
WF.400Xx200x8x13,84.1,23700,1740,1190,174,16.8,4.54
WF.450Xx200x9x14,96.8,33500,1870,1490,187,18.6,4.4
WF.500Xx200x10x16,114.2,47800,2140,1910,214,20.5,4.43
WF.600Xx200x11x17,134.4,77600,2280,2590,228,24,4.12
WF.600Xx200x12x20,192.5,181000,9020,4020,601,24.8,6.85
